SubjectID,Face_L1_R2,Face_L1_R4,Face_L1_R8,Face_L1_R16,Face_L1_R32,Face_L2_R2,Face_L2_R4,Face_L2_R8,Face_L2_R16,Face_L2_R32,Face_L3_R2,Face_L3_R4,Face_L3_R8,Face_L3_R16,Face_L3_R32,Object_L1_R2,Object_L1_R4,Object_L1_R8,Object_L1_R16,Object_L1_R32,Object_L2_R2,Object_L2_R4,Object_L2_R8,Object_L2_R16,Object_L2_R32,Object_L3_R2,Object_L3_R4,Object_L3_R8,Object_L3_R16,Object_L3_R32
14,0.14821930219369,0.283160166630981,0.264740270544344,0.0661169248934507,0.085365974023747,0.25935742687413,0.154075456942189,0.171163476973848,0.156643921900783,0.220929805046089,0.166544310977618,0.129406929249755,0.270210570415078,0.0703972936418038,0.0746772660890894,0.258219287013266,0.0317260799567545,0.104383813396283,0.0580505151983196,0.191429676673365,0.0531241415023117,0.178629430732428,0.0840930361437275,0.00983865548586271,0.0413322618417156,0.226772553178431,0.157253000760269,0.115875965105441,0.208236064016073,0.215643773817586
15,0.316381093042859,0.451321957480151,0.432902061393514,0.234278715742621,0.253527764872917,0.427519217723299,0.322237247791359,0.339325267823017,0.324805712749953,0.389091595895259,0.334706101826788,0.297568720098925,0.438372361264248,0.238559084490974,0.242839056938259,0.426381077862436,0.136435710892415,0.272545604245453,0.22621230604749,0.359591467522535,0.115037649346858,0.346791221581598,0.252254826992897,0.158323135363307,0.126829529007454,0.394934344027601,0.325414791609439,0.284037755954611,0.376397854865243,0.383805564666756
16,0.0382981879690645,0.096642676468227,0.0782227803815895,0.120400565269303,0.101151516139007,0.0728399367113755,0.032442033220565,0.0153540131889065,0.029873568261971,0.0344123148833346,0.0199731791851362,0.0571105609129992,0.0836930802523239,0.11612019652095,0.111840224073665,0.0717017968505121,0.218243570119509,0.0821336767664705,0.128466974964434,0.00491218651061076,0.239641631665066,0.00788805943032617,0.102424454019027,0.196356145648617,0.22784975200447,0.0402550630156773,0.0292644894024852,0.0706415250573132,0.0217185738533194,0.0291262836548321
17,0.0192103077720865,0.154151172209378,0.135731276122741,0.0628920695281524,0.0436430203978561,0.130348432452527,0.025066462520586,0.0421544825522445,0.02763492747918,0.0919208106244856,0.0375353165560148,0.000397934828151814,0.141201575993475,0.0586117007797992,0.0543317283325136,0.129210292591663,0.160735074378357,0.0246251810253195,0.0709584792232834,0.0624206822517618,0.182133135923915,0.0496204363108249,0.0449159582778755,0.138847649907466,0.170341256263319,0.0977635587568284,0.0282440063386659,0.0131330293161622,0.0792270695944704,0.0866347793959831
18,0.0481181657500885,0.18305903018738,0.164639134100743,0.0339842115501504,0.0147351624198541,0.159256290430529,0.053974320498588,0.0710623405302465,0.056542785457182,0.120828668602488,0.0664431745340168,0.0293057928061538,0.170109433971477,0.0297038428017972,0.0254238703545116,0.158118150569665,0.131827216400355,0.00428267695268247,0.0420506212452814,0.0913285402297638,0.153225277945913,0.0785282942888268,0.0160081002998735,0.109939791929464,0.141433398285317,0.12667141673483,0.0571518643166679,0.0157748286618398,0.108134927572472,0.115542637373985
19,0.0933625742430645,0.228303438680356,0.209883542593719,0.0112601969428257,0.0305092460731219,0.204500698923505,0.099218728991564,0.116306749023223,0.101787193950158,0.166073077095464,0.111687583026993,0.0745502012991298,0.215353842464453,0.0155405656911788,0.0198205381384644,0.203362559062641,0.0865828079073795,0.0495270854456585,0.00319378724769459,0.13657294872274,0.107980869452937,0.123772702781803,0.0292363081931025,0.0646953834364877,0.0961889897923406,0.171915825227806,0.102396272809644,0.0610192371548158,0.153379336065448,0.160787045866961
20,0.0824452522953495,0.217386116732641,0.198966220646004,0.000342874995110654,0.0195919241254069,0.19358337697579,0.088301407043849,0.105389427075508,0.090869872002443,0.155155755147749,0.100770261079278,0.0636328793514148,0.204436520516738,0.00462324374346379,0.00890321619074941,0.192445237114926,0.0975001298550945,0.0386097634979435,0.00772353470002041,0.125655626775025,0.118898191400652,0.112855380834088,0.0183189862453875,0.0756127053842027,0.107106311740056,0.160998503280091,0.0914789508619289,0.0501019152071008,0.142462014117733,0.149869723919246
21,0.14865062498159,0.283591489418881,0.265171593332244,0.0665482476813507,0.085797296811647,0.25978874966203,0.154506779730089,0.171594799761748,0.157075244688683,0.221361127833989,0.166975633765518,0.129838252037655,0.270641893202978,0.0708286164297038,0.0751085888769895,0.258650609801166,0.0312947571688544,0.104815136184184,0.0584818379862196,0.191860999461265,0.0526928187144117,0.179060753520328,0.0845243589316276,0.00940733269796268,0.0409009390538155,0.227203875966331,0.157684323548169,0.116307287893341,0.208667386803973,0.216075096605486
22,0.0776455758138355,0.212586440251127,0.19416654416449,0.00445680148640337,0.0147922476438929,0.188783700494276,0.083501730562335,0.100589750593993,0.086070195520929,0.150356078666235,0.0959705845977638,0.0588332028699008,0.199636844035224,0.000176432738050236,0.00410353970923538,0.187645560633412,0.102299806336609,0.0338100870164295,0.0125232111815344,0.120855950293511,0.123697867882166,0.108055704352574,0.0135193097638735,0.0804123818657168,0.11190598822157,0.156198826798577,0.0866792743804148,0.0453022387255868,0.137662337636219,0.145070047437732
23,0.271504389979606,0.406445254416897,0.38802535833026,0.189402012679367,0.208651061809663,0.382642514660046,0.277360544728105,0.294448564759763,0.279929009686699,0.344214892832005,0.289829398763534,0.252692017035671,0.393495658200994,0.19368238142772,0.197962353875005,0.381504374799182,0.0915590078291615,0.227668901182199,0.181335602984236,0.314714764459281,0.0701609462836043,0.301914518518344,0.207378123929643,0.113446432300053,0.0819528259442004,0.350057640964347,0.280538088546185,0.239161052891357,0.331521151801989,0.338928861603502
