Location,Ratio_1,Ratio_2,Difference,StdErr,pValue,Lower,Upper,Pretrain
L2,R16,R32,-0.055666833627327,0.00423602763898112,6.60616793152135e-15,-0.0682715945681323,-0.0430620726865216,Face
L2,R16,R4,0.00192634871894554,0.000272038499186336,1.65858335943253e-07,0.00111686857830981,0.00273582885958126,Face
L2,R16,R8,-0.0111418653517048,0.0014491098458903,2.47535358500414e-08,-0.01545384930014,-0.00682988140326962,Face
L2,R2,R16,0.0921730743639658,0.00578401764933791,1.13843612167206e-17,0.0749621007913667,0.109384047936565,Face
L2,R2,R32,0.0365062407366388,0.00192138109140205,2.57248714196478e-20,0.030788962334005,0.0422235191392726,Face
L2,R2,R4,0.0940994230829113,0.00599653806694221,1.91780807429225e-17,0.0762560718944791,0.111942774271344,Face
L2,R2,R8,0.0810312090122609,0.00468283959829509,6.76267470549617e-19,0.0670969104922343,0.0949655075322876,Face
L2,R32,R16,0.055666833627327,0.00423602763898112,6.60616793152135e-15,0.0430620726865216,0.0682715945681323,Face
L2,R32,R2,-0.0365062407366388,0.00192138109140205,2.57248714196478e-20,-0.0422235191392726,-0.030788962334005,Face
L2,R32,R4,0.0575931823462725,0.00447265627594831,1.26311219207138e-14,0.044284307160963,0.070902057531582,Face
L2,R32,R8,0.0445249682756221,0.00299107624494724,1.12598025470019e-16,0.0356246956059306,0.0534252409453137,Face
L2,R4,R16,-0.00192634871894554,0.000272038499186336,1.65858335943253e-07,-0.00273582885958126,-0.00111686857830981,Face
L2,R4,R2,-0.0940994230829113,0.00599653806694221,1.91780807429225e-17,-0.111942774271344,-0.0762560718944791,Face
L2,R4,R32,-0.0575931823462725,0.00447265627594831,1.26311219207138e-14,-0.070902057531582,-0.044284307160963,Face
L2,R4,R8,-0.0130682140706504,0.00171828193296824,3.20747954630344e-08,-0.0181811488387481,-0.00795527930255263,Face
L2,R8,R16,0.0111418653517048,0.0014491098458903,2.47535358500414e-08,0.00682988140326962,0.01545384930014,Face
L2,R8,R2,-0.0810312090122609,0.00468283959829509,6.76267470549617e-19,-0.0949655075322876,-0.0670969104922343,Face
L2,R8,R32,-0.0445249682756221,0.00299107624494724,1.12598025470019e-16,-0.0534252409453137,-0.0356246956059306,Face
L2,R8,R4,0.0130682140706504,0.00171828193296824,3.20747954630344e-08,0.00795527930255263,0.0181811488387481,Face
L3,R16,R2,-0.0439620767720338,0.011164141337828,0.0032968297064046,-0.0771821935101134,-0.0107419600339543,Face
L3,R16,R32,-0.000239288231662707,0.000678290802811735,1,-0.00225761628483974,0.00177903982151432,Face
L3,R16,R4,-0.0177576743217448,0.00811789919213077,0.347675876204505,-0.0419133662527297,0.00639801760924013,Face
L3,R16,R8,-0.139128864075657,0.0146566446451736,1.09493743354913e-10,-0.182741304241696,-0.0955164239096192,Face
L3,R2,R16,0.0439620767720338,0.011164141337828,0.0032968297064046,0.0107419600339543,0.0771821935101134,Face
L3,R2,R32,0.0437227885403711,0.010631096227881,0.00195206735278595,0.0120888054997485,0.0753567715809937,Face
L3,R2,R4,0.0262044024502891,0.00396194072771046,7.29091881273883e-07,0.0144152169230571,0.037993587977521,Face
L3,R2,R8,-0.0951667873036237,0.00539534784216108,3.47865086796582e-19,-0.111221231594098,-0.0791123430131497,Face
